prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
1,PRD001,Table,706.97,Home,2020-01-01,
2,PRD002,Headphones,2840.2,Electronics,2020-01-02,
3,PRD003,Mobile,1674.81,Home,2020-01-03,
4,PRD004,Table,2422.3,Appliances,2020-01-04,
5,PRD005,Mobile,823.73,Appliances,2020-01-05,2025-12-31 00:00:00
6,PRD006,Headphones,501.13,Home,2020-01-06,
7,PRD007,Headphones,1049.62,Electronics,2020-01-07,2025-12-31 00:00:00
8,PRD008,Mobile,2986.78,Home,2020-01-08,
9,PRD009,TV,2788.44,Home,2020-01-09,
10,PRD010,Laptop,2649.05,Home,2020-01-10,2025-12-31 00:00:00
11,PRD011,Table,2320.32,Electronics,2020-01-11,
12,PRD012,Headphones,2802.64,Home,2020-01-12,2025-12-31 00:00:00
13,PRD013,Table,277.67,Home,2020-01-13,
14,PRD014,Table,329.2,Electronics,2020-01-14,
15,PRD015,Laptop,2292.03,Electronics,2020-01-15,2025-12-31 00:00:00
16,PRD016,Table,246.61,Electronics,2020-01-16,
17,PRD017,Laptop,1362.71,Electronics,2020-01-17,2025-12-31 00:00:00
18,PRD018,Headphones,410.79,Appliances,2020-01-18,
19,PRD019,Mobile,920.77,Electronics,2020-01-19,
20,PRD020,Laptop,964.44,Electronics,2020-01-20,2025-12-31 00:00:00
21,PRD021,Laptop,2069.6,Electronics,2020-01-21,
22,PRD022,Headphones,2065.55,Home,2020-01-22,
23,PRD023,TV,1153.98,Appliances,2020-01-23,
24,PRD024,Mobile,1029.27,Home,2020-01-24,
25,PRD025,Mobile,2067.7,Appliances,2020-01-25,2025-12-31 00:00:00
26,PRD026,Mobile,2412.59,Electronics,2020-01-26,
27,PRD027,TV,638.68,Appliances,2020-01-27,
28,PRD028,Laptop,1934.42,Electronics,2020-01-28,2025-12-31 00:00:00
29,PRD029,Table,2990.49,Appliances,2020-01-29,
30,PRD030,Table,2868.67,Electronics,2020-01-30,2025-12-31 00:00:00
31,PRD031,TV,2591.46,Appliances,2020-01-31,2025-12-31 00:00:00
32,PRD032,TV,1527.2,Appliances,2020-02-01,
33,PRD033,Table,2082.57,Home,2020-02-02,2025-12-31 00:00:00
34,PRD034,Mobile,2764.98,Electronics,2020-02-03,
35,PRD035,TV,2270.37,Electronics,2020-02-04,2025-12-31 00:00:00
36,PRD036,TV,517.67,Appliances,2020-02-05,2025-12-31 00:00:00
37,PRD037,TV,201.48,Appliances,2020-02-06,
38,PRD038,Headphones,2865.91,Electronics,2020-02-07,2025-12-31 00:00:00
39,PRD039,Laptop,693.42,Electronics,2020-02-08,2025-12-31 00:00:00
40,PRD040,Table,163.77,Electronics,2020-02-09,
41,PRD041,Laptop,133.27,Appliances,2020-02-10,2025-12-31 00:00:00
42,PRD042,Laptop,1276.0,Electronics,2020-02-11,
43,PRD043,Laptop,2680.44,Appliances,2020-02-12,2025-12-31 00:00:00
44,PRD044,TV,1936.3,Appliances,2020-02-13,2025-12-31 00:00:00
45,PRD045,TV,69.78,Appliances,2020-02-14,
46,PRD046,Mobile,1976.81,Home,2020-02-15,2025-12-31 00:00:00
47,PRD047,Headphones,2633.08,Electronics,2020-02-16,2025-12-31 00:00:00
48,PRD048,Laptop,883.96,Electronics,2020-02-17,2025-12-31 00:00:00
49,PRD049,TV,2027.05,Electronics,2020-02-18,2025-12-31 00:00:00
50,PRD050,Mobile,582.47,Home,2020-02-19,2025-12-31 00:00:00
51,PRD051,TV,1054.28,Electronics,2020-02-20,2025-12-31 00:00:00
52,PRD052,Mobile,635.67,Home,2020-02-21,2025-12-31 00:00:00
53,PRD053,Laptop,1371.98,Electronics,2020-02-22,2025-12-31 00:00:00
54,PRD054,Headphones,256.68,Appliances,2020-02-23,2025-12-31 00:00:00
55,PRD055,TV,2516.02,Appliances,2020-02-24,2025-12-31 00:00:00
56,PRD056,Headphones,1404.06,Home,2020-02-25,
57,PRD057,TV,1311.97,Home,2020-02-26,
58,PRD058,Laptop,2127.21,Electronics,2020-02-27,
59,PRD059,TV,79.52,Electronics,2020-02-28,
60,PRD060,TV,1468.1,Home,2020-02-29,
61,PRD061,Table,2274.7,Electronics,2020-03-01,2025-12-31 00:00:00
62,PRD062,Headphones,2324.4,Appliances,2020-03-02,2025-12-31 00:00:00
63,PRD063,Headphones,449.17,Appliances,2020-03-03,2025-12-31 00:00:00
