sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
ORD000001,CAT20,15041,20204298,20229926,20201021,411.71,11,178.21
ORD000002,CAT10,7184,20212306,20206950,20218192,1118.79,1,347.31
ORD000003,CAT09,5628,20204146,20239350,20236208,3774.99,7,106.12
ORD000004,CAT32,11519,20229398,20214441,20217778,4214.2,8,384.27
ORD000005,CAT10,14809,20226851,20236017,20215142,2968.41,8,176.39
ORD000006,CAT32,3884,20209002,20219531,20235505,2066.99,12,272.32
ORD000007,CAT34,14164,20216709,20208545,20201239,3704.7,18,386.56
ORD000008,CAT27,10971,20209782,20235827,20231754,2494.63,19,416.54
ORD000009,CAT24,15401,20229028,20213507,20239655,479.74,13,43.5
ORD000010,CAT23,733,20213925,20211601,20216183,1310.72,8,189.3
ORD000011,CAT03,662,20209352,20203170,20211818,1750.95,9,202.07
ORD000012,CAT06,4712,20210553,20226950,20231982,1346.12,18,413.92
ORD000013,CAT32,13638,20228666,20200879,20239601,4025.84,5,368.55
ORD000014,CAT16,17609,20204828,20222200,20200564,1649.64,13,417.58
ORD000015,CAT07,16514,20224870,20203212,20239762,450.2,10,383.26
ORD000016,CAT11,30,20223436,20206337,20235933,1886.75,11,332.06
ORD000017,CAT14,4532,20217055,20237827,20201991,3493.75,16,312.86
ORD000018,CAT11,4774,20221769,20239768,20236163,1678.93,14,417.46
ORD000019,CAT30,4088,20222572,20234366,20225844,1732.46,19,414.47
ORD000020,CAT03,700,20210588,20225489,20220969,2088.97,4,254.51
ORD000021,CAT11,8015,20228619,20203679,20228076,2585.69,6,132.51
ORD000022,CAT26,2928,20210505,20211160,20215547,4923.37,14,24.09
ORD000023,CAT30,2953,20201339,20213546,20203016,3667.54,7,329.34
ORD000024,CAT23,10204,20225342,20220846,20237727,3388.33,6,151.66
ORD000025,CAT23,2691,20208900,20215644,20229554,4953.91,16,286.09
ORD000026,CAT28,8976,20218345,20224164,20219416,1333.41,11,257.17
ORD000027,CAT06,3021,20209052,20235534,20218330,1681.55,19,231.43
ORD000028,CAT33,8713,20221934,20231495,20205319,173.9,3,8.95
ORD000029,CAT32,3636,20211541,20207977,20236927,3680.85,4,159.84
ORD000030,CAT18,11958,20230725,20239292,20236684,4534.68,16,135.84
ORD000031,CAT05,9539,20222363,20219714,20216665,3322.21,7,203.85
ORD000032,CAT08,2120,20206224,20223160,20239060,2400.24,5,476.99
ORD000033,CAT08,16118,20200637,20238496,20238679,384.75,13,105.26
ORD000034,CAT09,4051,20228559,20230607,20237503,4014.86,15,265.77
ORD000035,CAT04,4264,20231163,20205113,20219349,2721.4,1,118.06
ORD000036,CAT08,1109,20225813,20218492,20203336,2127.18,12,333.72
ORD000037,CAT21,11745,20209290,20203606,20217994,3856.4,6,454.39
ORD000038,CAT31,9352,20203903,20223015,20219717,2089.55,12,422.39
ORD000039,CAT16,2566,20225423,20227481,20203359,4370.32,5,171.28
ORD000040,CAT24,9152,20200762,20203515,20238268,3801.63,1,268.34
ORD000041,CAT12,5031,20219549,20230424,20220162,128.25,9,338.7
ORD000042,CAT01,13087,20213272,20203294,20227163,3113.16,6,44.59
ORD000043,CAT29,11062,20214916,20238519,20214515,3934.72,19,193.33
ORD000044,CAT23,8724,20217862,20218992,20234167,4850.24,15,268.83
ORD000045,CAT22,17649,20208385,20209481,20233918,2586.24,11,494.02
ORD000046,CAT16,587,20217568,20216592,20215349,3504.82,8,95.55
ORD000047,CAT26,6567,20201128,20217837,20207319,214.74,10,173.56
ORD000048,CAT20,9941,20225500,20232291,20203885,2422.71,13,489.33
ORD000049,CAT06,12782,20200708,20234459,20220165,562.2,9,227.43
ORD000050,CAT29,10501,20222237,20236952,20218661,3961.98,2,222.77
ORD000051,CAT01,2665,20213232,20230500,20200412,223.78,8,167.24
ORD000052,CAT01,4191,20226934,20203799,20206588,924.35,17,39.02
ORD000053,CAT24,247,20200258,20235543,20214403,3553.01,2,332.54
ORD000054,CAT20,9893,20214961,20225874,20236572,2930.37,19,204.4
ORD000055,CAT18,8020,20227190,20213168,20206585,1229.89,1,41.36
ORD000056,CAT17,2665,20201752,20227938,20200823,4294.58,16,161.96
ORD000057,CAT02,9583,20228452,20230004,20235791,1715.56,1,370.82
ORD000058,CAT30,10693,20219160,20216277,20235168,98.33,19,205.71
ORD000059,CAT09,13957,20200496,20229818,20209110,3740.54,7,375.82
ORD000060,CAT30,14357,20223844,20222944,20208635,1265.92,18,9.27
ORD000061,CAT12,14321,20214451,20223598,20230936,3269.77,14,176.87
ORD000062,CAT22,11023,20200692,20226066,20221781,107.78,14,463.71
ORD000063,CAT18,16516,20210833,20216630,20212473,4500.01,8,163.65
ORD000064,CAT14,11922,20209518,20218467,20236804,4135.99,9,307.39
ORD000065,CAT04,14941,20209300,20228382,20210068,3325.78,8,34.63
ORD000066,CAT25,7692,20202631,20239592,20234632,1333.0,4,287.13
ORD000067,CAT07,1156,20205756,20217009,20238073,2860.6,10,487.07
ORD000068,CAT16,3259,20217052,20209111,20201271,1867.04,4,82.39
ORD000069,CAT11,16231,20216032,20201433,20236758,4999.32,12,13.17
ORD000070,CAT17,5335,20205751,20216744,20209582,1980.66,12,77.1
ORD000071,CAT06,2124,20216786,20234922,20201760,4285.73,16,203.65
ORD000072,CAT24,17856,20202117,20224310,20228264,1220.55,2,173.39
ORD000073,CAT35,8786,20211511,20229954,20200594,4497.61,10,49.79
ORD000074,CAT15,14989,20220686,20216250,20212780,164.45,13,311.45
ORD000075,CAT16,1579,20221092,20209582,20216044,1451.25,7,377.38
ORD000076,CAT10,11037,20216098,20238632,20207025,3682.22,4,196.2
ORD000077,CAT29,3151,20212418,20237487,20201600,165.71,19,412.23
ORD000078,CAT37,10263,20205828,20211753,20221366,1008.76,9,124.9
ORD000079,CAT29,15580,20230703,20230610,20221663,2700.17,7,88.1
ORD000080,CAT09,14250,20204644,20217507,20220821,4301.1,14,206.26
ORD000081,CAT06,5989,20229661,20207753,20203579,4061.3,1,291.73
ORD000082,CAT23,6937,20220503,20239539,20204857,3081.34,16,448.66
ORD000083,CAT19,17334,20202319,20232904,20203449,4441.9,1,455.19
ORD000084,CAT15,9508,20211353,20213946,20224221,4469.41,19,217.05
ORD000085,CAT33,16577,20228630,20212396,20201721,4179.26,1,38.68
ORD000086,CAT13,9657,20207439,20238873,20207393,583.05,5,117.34
ORD000087,CAT21,3186,20230478,20210017,20212597,3198.25,1,379.5
ORD000088,CAT15,14563,20201883,20212675,20229287,3387.03,12,352.97
ORD000089,CAT01,1740,20207964,20237581,20227826,4529.87,16,168.33
ORD000090,CAT12,3071,20208724,20217519,20215747,4842.43,9,444.31
ORD000091,CAT29,16638,20207970,20231905,20216349,3574.72,13,117.65
ORD000092,CAT16,5266,20221650,20209687,20235885,3427.88,5,27.62
ORD000093,CAT32,15795,20220926,20238749,20206741,4764.23,1,162.27
ORD000094,CAT07,5083,20219129,20216890,20209617,462.45,11,337.25
ORD000095,CAT21,2452,20228774,20232986,20200357,3271.82,2,378.86
ORD000096,CAT14,3199,20230326,20223424,20205173,33.74,7,174.63
ORD000097,CAT13,13599,20203785,20201757,20235523,1324.76,5,101.78
ORD000098,CAT32,14039,20223345,20204694,20223756,1628.87,3,319.81
ORD000099,CAT22,5472,20223161,20217327,20232992,1522.92,7,361.56
ORD000100,CAT06,1933,20217709,20229920,20237560,554.44,19,96.79
ORD000101,CAT26,9345,20228066,20224866,20224491,4817.15,1,286.42
ORD000102,CAT36,10441,20206257,20203916,20220155,3098.39,12,471.46
ORD000103,CAT09,11481,20211392,20217574,20229853,658.45,14,170.31
ORD000104,CAT03,18029,20214344,20233638,20237605,2334.66,19,318.59
ORD000105,CAT25,17003,20204036,20226260,20200918,2954.54,11,239.75
ORD000106,CAT31,1258,20205966,20232122,20207394,3132.85,13,134.69
ORD000107,CAT10,8315,20227654,20233892,20230276,1025.58,1,31.16
ORD000108,CAT32,17654,20206839,20239440,20205784,964.13,15,105.5
ORD000109,CAT29,11429,20227256,20204727,20211178,4541.17,5,227.56
ORD000110,CAT30,5116,20222955,20217642,20201244,1689.81,11,102.04
ORD000111,CAT08,10859,20220094,20225675,20230950,910.06,9,47.07
ORD000112,CAT01,7143,20206644,20200995,20206641,159.69,10,156.11
ORD000113,CAT22,6856,20202625,20220060,20217349,408.15,16,41.25
ORD000114,CAT33,12620,20203295,20236910,20220223,2614.83,16,138.66
ORD000115,CAT35,11528,20205526,20202681,20228877,4320.77,11,168.86
ORD000116,CAT11,11495,20201500,20201304,20229304,2696.02,15,143.81
ORD000117,CAT20,1754,20227784,20221242,20221839,3799.86,7,333.72
ORD000118,CAT05,14570,20225668,20233123,20227917,3629.64,14,188.87
ORD000119,CAT25,11574,20213558,20204756,20224038,86.37,6,298.33
ORD000120,CAT05,10441,20219295,20217145,20221331,135.83,5,321.7
ORD000121,CAT26,16576,20224556,20225102,20204813,2339.18,5,228.25
ORD000122,CAT21,18003,20207889,20239545,20201559,1101.36,16,437.11
ORD000123,CAT21,786,20220589,20221729,20238370,566.9,16,476.7
ORD000124,CAT24,11334,20211365,20213179,20220537,3796.89,10,84.7
ORD000125,CAT32,13308,20215320,20232806,20235395,2986.65,7,24.97
ORD000126,CAT13,380,20221070,20215801,20217838,1854.94,3,305.5
ORD000127,CAT20,10119,20203773,20203634,20225414,4870.51,7,316.87
ORD000128,CAT04,205,20205822,20214323,20216883,3828.15,19,142.08
ORD000129,CAT35,1052,20226813,20215208,20236645,4563.44,6,226.98
ORD000130,CAT07,10644,20204648,20226863,20207521,4497.89,3,436.31
ORD000131,CAT25,7916,20213370,20212428,20234417,2600.67,18,189.9
ORD000132,CAT26,16123,20203018,20239351,20218778,2260.1,1,61.82
ORD000133,CAT10,4262,20218736,20224150,20206005,4209.67,7,491.17
ORD000134,CAT25,17269,20213046,20239519,20214567,918.15,5,22.63
ORD000135,CAT34,2870,20222269,20214105,20239680,2189.3,15,443.78
ORD000136,CAT27,11454,20221617,20210505,20207403,4069.22,17,22.3
ORD000137,CAT02,15785,20225705,20214221,20215707,2252.02,18,268.95
ORD000138,CAT01,1836,20200166,20239628,20215252,589.03,18,349.39
ORD000139,CAT23,14241,20214945,20206583,20231213,2253.3,16,217.22
ORD000140,CAT18,6915,20222076,20233886,20238584,2252.33,19,21.18
ORD000141,CAT16,7432,20222471,20213630,20233196,1682.91,16,466.22
ORD000142,CAT27,9227,20223576,20236005,20207764,299.96,1,188.77
ORD000143,CAT30,5947,20217939,20238345,20221764,822.34,15,264.68
ORD000144,CAT23,17726,20221817,20216654,20203932,1159.49,6,323.37
ORD000145,CAT30,18350,20218827,20220702,20213866,376.28,16,19.75
ORD000146,CAT07,15734,20229820,20237349,20222693,4843.71,10,82.64
ORD000147,CAT32,12540,20224892,20215537,20219187,4613.33,9,433.97
ORD000148,CAT35,10272,20204181,20226924,20213723,1086.65,3,71.95
ORD000149,CAT13,1829,20221302,20221753,20203396,2135.79,5,97.15
ORD000150,CAT11,6308,20224944,20215880,20212203,1079.51,14,164.51
ORD000151,CAT22,12481,20227752,20240005,20205045,3691.13,17,99.43
ORD000152,CAT37,9367,20201947,20206141,20230251,2699.74,16,24.63
ORD000153,CAT17,6843,20217970,20204753,20203826,3855.59,4,252.89
ORD000154,CAT10,18163,20229467,20236361,20225921,1659.27,11,289.36
ORD000155,CAT30,8385,20201813,20239580,20236967,2842.88,11,199.45
ORD000156,CAT20,4718,20229286,20224677,20202381,4232.05,8,218.39
ORD000157,CAT24,18246,20208519,20234988,20223084,3643.16,7,145.0
ORD000158,CAT29,13968,20213832,20233810,20221388,2573.14,2,35.19
ORD000159,CAT02,7693,20205522,20218594,20223910,1655.14,2,473.19
ORD000160,CAT37,17906,20223410,20226608,20227863,3189.44,10,137.26
ORD000161,CAT07,3415,20223311,20229709,20201658,4122.81,15,459.43
ORD000162,CAT33,2691,20214705,20208077,20224127,886.7,2,203.04
ORD000163,CAT28,12796,20214148,20235912,20224707,746.25,13,233.75
ORD000164,CAT34,11874,20211655,20240021,20230876,4820.61,1,73.05
ORD000165,CAT14,2746,20221701,20233620,20229982,4831.79,2,151.02
ORD000166,CAT32,7515,20214724,20205902,20234493,987.98,1,160.87
ORD000167,CAT34,7499,20228991,20233982,20235532,730.14,15,493.89
ORD000168,CAT09,8578,20202807,20219124,20207328,4417.07,15,227.11
ORD000169,CAT21,10167,20210723,20200742,20233645,3537.89,11,128.59
ORD000170,CAT05,14154,20226463,20211855,20225348,4719.36,9,38.8
ORD000171,CAT17,3147,20208287,20228571,20224079,1635.55,18,169.9
ORD000172,CAT11,18306,20214334,20203992,20222672,3349.92,8,76.4
ORD000173,CAT22,7075,20209429,20236472,20237981,2293.8,7,155.55
ORD000174,CAT12,14741,20212643,20225507,20223106,1221.57,7,457.15
ORD000175,CAT32,9873,20206677,20212998,20209256,357.78,2,23.89
ORD000176,CAT03,9355,20217875,20236783,20204347,3219.85,16,190.99
ORD000177,CAT32,14082,20221115,20226793,20208455,807.23,10,85.34
ORD000178,CAT28,14800,20211371,20217008,20219225,4857.07,7,230.46
ORD000179,CAT15,12660,20222691,20235277,20235646,2823.83,19,314.78
ORD000180,CAT11,5330,20221204,20207165,20220256,838.74,17,212.5
ORD000181,CAT24,14855,20205001,20209595,20204583,1748.8,3,320.45
ORD000182,CAT27,15041,20204066,20206318,20234303,1092.8,9,365.65
ORD000183,CAT09,9332,20211988,20221490,20201949,3676.16,7,205.74
ORD000184,CAT19,8664,20217591,20209381,20222318,356.21,1,491.71
ORD000185,CAT36,3911,20206280,20225127,20219605,1701.43,16,488.69
ORD000186,CAT17,2317,20209826,20219930,20232374,3109.38,17,444.33
ORD000187,CAT08,15687,20219599,20221178,20236186,4797.24,7,146.3
