CID,BDATE,GEN
CUST00001,1950-01-01,M
CUST00002,1950-01-02,F
CUST00003,1950-01-03,M
CUST00004,1950-01-04,F
CUST00005,1950-01-05,F
CUST00006,1950-01-06,
CUST00007,1950-01-07,F
CUST00008,1950-01-08,M
CUST00009,1950-01-09,M
CUST00010,1950-01-10,
CUST00011,1950-01-11,M
CUST00012,1950-01-12,M
CUST00013,1950-01-13,M
CUST00014,1950-01-14,
CUST00015,1950-01-15,F
CUST00016,1950-01-16,
CUST00017,1950-01-17,F
CUST00018,1950-01-18,
CUST00019,1950-01-19,
CUST00020,1950-01-20,
CUST00021,1950-01-21,M
CUST00022,1950-01-22,F
CUST00023,1950-01-23,M
CUST00024,1950-01-24,
CUST00025,1950-01-25,M
CUST00026,1950-01-26,
CUST00027,1950-01-27,F
CUST00028,1950-01-28,F
CUST00029,1950-01-29,M
CUST00030,1950-01-30,M
CUST00031,1950-01-31,F
CUST00032,1950-02-01,F
CUST00033,1950-02-02,
CUST00034,1950-02-03,M
CUST00035,1950-02-04,F
CUST00036,1950-02-05,F
CUST00037,1950-02-06,F
CUST00038,1950-02-07,M
CUST00039,1950-02-08,M
CUST00040,1950-02-09,
CUST00041,1950-02-10,F
CUST00042,1950-02-11,
CUST00043,1950-02-12,F
CUST00044,1950-02-13,F
CUST00045,1950-02-14,
CUST00046,1950-02-15,M
CUST00047,1950-02-16,
CUST00048,1950-02-17,M
CUST00049,1950-02-18,F
CUST00050,1950-02-19,M
CUST00051,1950-02-20,F
CUST00052,1950-02-21,M
CUST00053,1950-02-22,M
CUST00054,1950-02-23,F
CUST00055,1950-02-24,F
CUST00056,1950-02-25,F
CUST00057,1950-02-26,M
CUST00058,1950-02-27,M
CUST00059,1950-02-28,
CUST00060,1950-03-01,M
CUST00061,1950-03-02,F
CUST00062,1950-03-03,F
CUST00063,1950-03-04,F
CUST00064,1950-03-05,F
CUST00065,1950-03-06,F
CUST00066,1950-03-07,F
CUST00067,1950-03-08,M
CUST00068,1950-03-09,F
CUST00069,1950-03-10,M
CUST00070,1950-03-11,F
CUST00071,1950-03-12,M
CUST00072,1950-03-13,
CUST00073,1950-03-14,M
CUST00074,1950-03-15,F
CUST00075,1950-03-16,M
CUST00076,1950-03-17,
CUST00077,1950-03-18,F
CUST00078,1950-03-19,M
CUST00079,1950-03-20,
CUST00080,1950-03-21,M
CUST00081,1950-03-22,F
CUST00082,1950-03-23,F
CUST00083,1950-03-24,F
CUST00084,1950-03-25,F
CUST00085,1950-03-26,M
CUST00086,1950-03-27,
CUST00087,1950-03-28,F
CUST00088,1950-03-29,
CUST00089,1950-03-30,
CUST00090,1950-03-31,M
CUST00091,1950-04-01,M
CUST00092,1950-04-02,F
CUST00093,1950-04-03,M
CUST00094,1950-04-04,F
CUST00095,1950-04-05,M
CUST00096,1950-04-06,F
CUST00097,1950-04-07,M
CUST00098,1950-04-08,M
CUST00099,1950-04-09,F
CUST00100,1950-04-10,
CUST00101,1950-04-11,F
CUST00102,1950-04-12,F
CUST00103,1950-04-13,M
CUST00104,1950-04-14,M
CUST00105,1950-04-15,F
CUST00106,1950-04-16,M
CUST00107,1950-04-17,F
CUST00108,1950-04-18,F
CUST00109,1950-04-19,M
CUST00110,1950-04-20,M
CUST00111,1950-04-21,M
CUST00112,1950-04-22,F
CUST00113,1950-04-23,M
CUST00114,1950-04-24,F
CUST00115,1950-04-25,M
CUST00116,1950-04-26,M
CUST00117,1950-04-27,F
CUST00118,1950-04-28,F
CUST00119,1950-04-29,M
CUST00120,1950-04-30,M
CUST00121,1950-05-01,M
CUST00122,1950-05-02,M
CUST00123,1950-05-03,M
CUST00124,1950-05-04,F
CUST00125,1950-05-05,M
CUST00126,1950-05-06,M
CUST00127,1950-05-07,M
CUST00128,1950-05-08,
CUST00129,1950-05-09,
CUST00130,1950-05-10,F
CUST00131,1950-05-11,M
CUST00132,1950-05-12,M
CUST00133,1950-05-13,M
CUST00134,1950-05-14,M
CUST00135,1950-05-15,F
CUST00136,1950-05-16,M
CUST00137,1950-05-17,M
CUST00138,1950-05-18,M
CUST00139,1950-05-19,F
CUST00140,1950-05-20,M
CUST00141,1950-05-21,F
CUST00142,1950-05-22,F
CUST00143,1950-05-23,F
CUST00144,1950-05-24,F
CUST00145,1950-05-25,F
CUST00146,1950-05-26,F
CUST00147,1950-05-27,
CUST00148,1950-05-28,M
CUST00149,1950-05-29,F
CUST00150,1950-05-30,M
CUST00151,1950-05-31,F
CUST00152,1950-06-01,M
CUST00153,1950-06-02,F
CUST00154,1950-06-03,M
CUST00155,1950-06-04,F
CUST00156,1950-06-05,F
CUST00157,1950-06-06,F
CUST00158,1950-06-07,M
CUST00159,1950-06-08,F
CUST00160,1950-06-09,M
CUST00161,1950-06-10,
CUST00162,1950-06-11,F
CUST00163,1950-06-12,M
CUST00164,1950-06-13,F
CUST00165,1950-06-14,M
CUST00166,1950-06-15,F
CUST00167,1950-06-16,M
CUST00168,1950-06-17,F
CUST00169,1950-06-18,F
CUST00170,1950-06-19,F
CUST00171,1950-06-20,
CUST00172,1950-06-21,F
CUST00173,1950-06-22,M
CUST00174,1950-06-23,
CUST00175,1950-06-24,F
CUST00176,1950-06-25,M
CUST00177,1950-06-26,M
CUST00178,1950-06-27,
CUST00179,1950-06-28,F
CUST00180,1950-06-29,M
CUST00181,1950-06-30,M
CUST00182,1950-07-01,M
CUST00183,1950-07-02,F
CUST00184,1950-07-03,M
CUST00185,1950-07-04,F
CUST00186,1950-07-05,F
CUST00187,1950-07-06,F
CUST00188,1950-07-07,F
CUST00189,1950-07-08,F
CUST00190,1950-07-09,M
CUST00191,1950-07-10,M
CUST00192,1950-07-11,F
CUST00193,1950-07-12,
CUST00194,1950-07-13,M
CUST00195,1950-07-14,F
CUST00196,1950-07-15,M
CUST00197,1950-07-16,
CUST00198,1950-07-17,M
CUST00199,1950-07-18,F
CUST00200,1950-07-19,F
CUST00201,1950-07-20,
CUST00202,1950-07-21,M
CUST00203,1950-07-22,F
CUST00204,1950-07-23,M
CUST00205,1950-07-24,
CUST00206,1950-07-25,F
CUST00207,1950-07-26,M
CUST00208,1950-07-27,F
CUST00209,1950-07-28,F
CUST00210,1950-07-29,F
CUST00211,1950-07-30,M
CUST00212,1950-07-31,M
CUST00213,1950-08-01,M
CUST00214,1950-08-02,
CUST00215,1950-08-03,M
CUST00216,1950-08-04,F
CUST00217,1950-08-05,M
CUST00218,1950-08-06,
CUST00219,1950-08-07,M
CUST00220,1950-08-08,F
CUST00221,1950-08-09,F
CUST00222,1950-08-10,M
CUST00223,1950-08-11,M
CUST00224,1950-08-12,F
CUST00225,1950-08-13,M
CUST00226,1950-08-14,F
CUST00227,1950-08-15,F
CUST00228,1950-08-16,F
CUST00229,1950-08-17,F
CUST00230,1950-08-18,F
CUST00231,1950-08-19,F
CUST00232,1950-08-20,F
CUST00233,1950-08-21,M
CUST00234,1950-08-22,M
CUST00235,1950-08-23,F
CUST00236,1950-08-24,F
CUST00237,1950-08-25,M
CUST00238,1950-08-26,M
CUST00239,1950-08-27,M
CUST00240,1950-08-28,F
