CID,CNTRY
CUST00001,
CUST00002,UK
CUST00003,CAN
CUST00004,
CUST00005,USA
CUST00006,GER
CUST00007,CAN
CUST00008,MEX
CUST00009,USA
CUST00010,USA
CUST00011,USA
CUST00012,USA
CUST00013,UK
CUST00014,MEX
CUST00015,USA
CUST00016,MEX
CUST00017,USA
CUST00018,USA
CUST00019,USA
CUST00020,UK
CUST00021,USA
CUST00022,USA
CUST00023,CAN
CUST00024,USA
CUST00025,CAN
CUST00026,USA
CUST00027,USA
CUST00028,USA
CUST00029,MEX
CUST00030,UK
CUST00031,USA
CUST00032,USA
CUST00033,UK
CUST00034,CAN
CUST00035,USA
CUST00036,USA
CUST00037,USA
CUST00038,MEX
CUST00039,CAN
CUST00040,GER
CUST00041,
CUST00042,USA
CUST00043,USA
CUST00044,USA
CUST00045,CAN
CUST00046,MEX
CUST00047,CAN
CUST00048,USA
CUST00049,CAN
CUST00050,USA
CUST00051,USA
CUST00052,USA
CUST00053,CAN
CUST00054,USA
CUST00055,USA
CUST00056,MEX
CUST00057,CAN
CUST00058,
CUST00059,USA
CUST00060,USA
CUST00061,USA
CUST00062,USA
CUST00063,GER
CUST00064,USA
CUST00065,CAN
CUST00066,CAN
CUST00067,USA
CUST00068,USA
CUST00069,UK
CUST00070,USA
CUST00071,MEX
CUST00072,USA
CUST00073,USA
CUST00074,GER
CUST00075,CAN
CUST00076,CAN
CUST00077,USA
CUST00078,UK
CUST00079,USA
CUST00080,USA
CUST00081,CAN
CUST00082,CAN
CUST00083,USA
CUST00084,USA
CUST00085,MEX
CUST00086,USA
CUST00087,USA
CUST00088,CAN
CUST00089,CAN
CUST00090,USA
CUST00091,USA
CUST00092,USA
CUST00093,USA
CUST00094,USA
CUST00095,CAN
CUST00096,USA
CUST00097,USA
CUST00098,MEX
CUST00099,USA
CUST00100,UK
CUST00101,MEX
CUST00102,MEX
CUST00103,GER
CUST00104,USA
CUST00105,CAN
CUST00106,CAN
CUST00107,CAN
CUST00108,USA
CUST00109,USA
CUST00110,CAN
CUST00111,CAN
CUST00112,USA
CUST00113,CAN
CUST00114,USA
CUST00115,GER
CUST00116,USA
CUST00117,USA
CUST00118,USA
