ID,CAT,SUBCAT,MAINTENANCE
CAT01,Electronics,Shirt,Medium
CAT02,Clothing,Laptop,High
CAT03,Electronics,Snack,Low
CAT04,Electronics,Mobile,High
CAT05,Clothing,Mobile,Medium
CAT06,Electronics,Shirt,Medium
CAT07,Food,Mobile,High
CAT08,Food,Snack,Medium
CAT09,Furniture,Shirt,High
CAT10,Furniture,Snack,Medium
CAT11,Clothing,Snack,Low
CAT12,Furniture,Shirt,Low
CAT13,Furniture,Mobile,Low
CAT14,Furniture,Snack,Medium
CAT15,Clothing,Mobile,High
CAT16,Food,Mobile,Medium
CAT17,Furniture,Snack,Low
CAT18,Electronics,Snack,High
CAT19,Clothing,Laptop,High
CAT20,Clothing,Sofa,High
CAT21,Clothing,Sofa,Medium
CAT22,Furniture,Sofa,Low
CAT23,Clothing,Shirt,Medium
CAT24,Food,Laptop,Low
CAT25,Electronics,Snack,High
CAT26,Clothing,Mobile,Low
CAT27,Furniture,Shirt,Medium
CAT28,Food,Laptop,High
CAT29,Clothing,Shirt,Low
CAT30,Food,Snack,High
CAT31,Furniture,Mobile,Medium
CAT32,Furniture,Shirt,Medium
CAT33,Furniture,Laptop,Medium
CAT34,Clothing,Shirt,Medium
CAT35,Clothing,Sofa,Low
CAT36,Food,Shirt,Medium
CAT37,Food,Snack,Low
